市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
030366,331,和歌山県,有田川町,2023-03-31,楠本,98,41,57,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,1,2,2,1,3,0,5,2,4,4,3,3,5,6,3,7,4,7,6,24,68,
030366,332,和歌山県,有田川町,2023-03-31,沼,44,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,1,1,2,2,1,0,2,1,4,1,5,5,12,31,
030366,333,和歌山県,有田川町,2023-03-31,遠井,37,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,1,0,1,4,2,1,0,1,7,5,9,24,
030366,334,和歌山県,有田川町,2023-03-31,三田,67,28,39,0,0,1,1,0,1,0,0,0,0,0,1,1,1,3,0,1,1,1,1,1,2,2,1,2,3,1,4,6,4,3,8,1,4,5,7,39,
030366,335,和歌山県,有田川町,2023-03-31,宮川,31,11,20,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,2,2,2,3,1,1,3,0,0,1,1,1,7,20,
030366,336,和歌山県,有田川町,2023-03-31,大蔵,25,13,12,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,0,2,0,1,1,2,1,1,2,2,1,0,1,2,2,1,14,
030366,337,和歌山県,有田川町,2023-03-31,清水,792,366,426,9,4,7,8,14,18,13,12,8,8,9,9,8,12,11,14,15,14,18,17,28,23,26,31,36,38,43,40,33,33,20,26,28,37,40,82,403,
030366,338,和歌山県,有田川町,2023-03-31,久野原,296,139,157,0,1,0,5,8,4,4,5,6,3,3,8,2,3,6,5,7,4,9,9,13,7,7,8,12,12,15,15,18,15,10,12,15,14,4,27,155,
030366,339,和歌山県,有田川町,2023-03-31,下湯川,60,22,38,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,3,1,1,2,2,0,0,2,2,9,2,3,4,6,5,13,42,
030366,340,和歌山県,有田川町,2023-03-31,上湯川,18,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,2,3,5,11,
030366,341,和歌山県,有田川町,2023-03-31,上湯川(室川),9,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,3,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
